Fecha,0 a 9,10 a 19,20 a 39,40 a 59,60 a 79,80 a más
2020-04-04,0.0,1.0,22.0,19.0,18.0,2.0
2020-04-05,0.0,1.0,26.0,21.0,19.0,2.0
2020-04-06,0.0,1.0,34.0,22.0,19.0,2.0
2020-04-07,0.0,2.0,41.0,26.0,22.0,2.0
2020-04-08,0.0,2.0,44.0,31.0,24.0,2.0
2020-04-09,0.0,3.0,45.0,39.0,28.0,2.0
2020-04-10,0.0,3.0,45.0,40.0,28.0,2.0
2020-04-11,0.0,3.0,52.0,40.0,28.0,2.0
2020-04-12,0.0,3.0,58.0,46.0,28.0,2.0
2020-04-13,1.0,4.0,63.0,49.0,29.0,3.0
2020-04-14,1.0,4.0,66.0,51.0,34.0,3.0
2020-04-15,2.0,4.0,70.0,51.0,34.0,3.0
2020-04-16,2.0,5.0,78.0,54.0,35.0,3.0
2020-04-17,2.0,5.0,86.0,57.0,37.0,3.0
2020-04-18,2.0,5.0,92.0,62.0,37.0,3.0
2020-04-19,2.0,6.0,100.0,70.0,37.0,3.0
2020-04-20,2.0,6.0,103.0,74.0,37.0,3.0
2020-04-21,2.0,7.0,107.0,80.0,38.0,3.0
2020-04-22,2.0,8.0,113.0,86.0,38.0,3.0
2020-04-23,3.0,9.0,116.0,90.0,40.0,3.0
2020-04-24,3.0,9.0,121.0,98.0,40.0,3.0
2020-04-25,4.0,11.0,135.0,104.0,41.0,3.0
2020-04-26,5.0,11.0,148.0,114.0,42.0,3.0
2020-04-27,6.0,12.0,153.0,127.0,43.0,4.0
2020-04-28,6.0,14.0,171.0,136.0,45.0,5.0
2020-04-29,6.0,15.0,176.0,146.0,45.0,7.0
2020-04-30,6.0,16.0,193.0,156.0,45.0,7.0
2020-05-01,8.0,16.0,199.0,168.0,48.0,7.0
2020-05-02,10.0,17.0,216.0,187.0,53.0,7.0
2020-05-03,13.0,18.0,245.0,214.0,58.0,7.0
2020-05-04,14.0,18.0,255.0,231.0,62.0,7.0
2020-05-05,15.0,19.0,272.0,253.0,65.0,9.0
2020-05-06,17.0,22.0,299.0,276.0,72.0,9.0
2020-05-07,18.0,23.0,317.0,298.0,75.0,11.0
2020-05-08,19.0,24.0,333.0,315.0,81.0,12.0
2020-05-09,23.0,28.0,377.0,357.0,91.0,13.0
2020-05-10,24.0,34.0,415.0,373.0,97.0,15.0
2020-05-11,25.0,38.0,434.0,386.0,100.0,15.0
2020-05-12,26.0,39.0,463.0,393.0,101.0,15.0
2020-05-13,28.0,48.0,494.0,414.0,109.0,19.0
2020-05-14,30.0,54.0,529.0,454.0,122.0,21.0
2020-05-11,25.0,38.0,434.0,386.0,100.0,15.0
2020-05-12,26.0,39.0,463.0,393.0,101.0,15.0
2020-05-13,28.0,48.0,494.0,414.0,109.0,19.0
2020-05-14,30.0,54.0,529.0,454.0,122.0,21.0
2020-05-15,32.0,55.0,555.0,468.0,131.0,24.0
2020-05-16,34.0,56.0,586.0,495.0,140.0,27.0
2020-05-17,36.0,59.0,623.0,519.0,149.0,27.0
2020-05-18,37.0,61.0,667.0,553.0,153.0,27.0
2020-05-19,37.0,65.0,700.0,578.0,162.0,29.0
2020-05-20,40.0,66.0,739.0,601.0,164.0,30.0
2020-05-21,42.0,68.0,764.0,637.0,180.0,34.0
2020-05-22,46.0,73.0,802.0,678.0,185.0,35.0
2020-05-23,46.0,76.0,835.0,727.0,196.0,35.0
2020-05-24,52.0,84.0,871.0,740.0,200.0,36.0
2020-05-25,52.0,86.0,905.0,763.0,200.0,36.0
2020-05-26,52.0,87.0,933.0,788.0,213.0,36.0
2020-05-27,54.0,91.0,979.0,814.0,217.0,39.0
2020-05-28,56.0,92.0,1033.0,839.0,218.0,40.0
2020-05-29,56.0,96.0,1111.0,866.0,226.0,40.0
2020-05-30,56.0,96.0,1150.0,908.0,257.0,50.0
2020-05-31,56.0,97.0,1179.0,933.0,265.0,52.0
2020-06-01,56.0,97.0,1192.0,954.0,291.0,63.0
2020-06-02,56.0,97.0,1207.0,976.0,299.0,70.0
2020-06-03,56.0,99.0,1242.0,1005.0,305.0,74.0
2020-06-04,56.0,100.0,1266.0,1034.0,313.0,80.0
2020-06-05,57.0,100.0,1304.0,1061.0,328.0,84.0
2020-06-06,57.0,104.0,1346.0,1090.0,334.0,84.0
2020-06-07,58.0,105.0,1393.0,1120.0,338.0,90.0
2020-06-08,58.0,106.0,1435.0,1153.0,347.0,92.0
2020-06-09,58.0,109.0,1482.0,1178.0,353.0,94.0
2020-06-10,58.0,110.0,1531.0,1211.0,363.0,100.0
2020-06-11,58.0,112.0,1573.0,1261.0,376.0,101.0
2020-06-12,60.0,112.0,1624.0,1310.0,394.0,103.0
2020-06-13,60.0,116.0,1677.0,1359.0,405.0,103.0
2020-06-14,63.0,117.0,1720.0,1407.0,415.0,104.0
2020-06-15,63.0,118.0,1764.0,1455.0,431.0,110.0
2020-06-16,63.0,122.0,1820.0,1512.0,438.0,111.0
2020-06-17,64.0,133.0,1878.0,1565.0,446.0,114.0
2020-06-18,64.0,136.0,1937.0,1619.0,457.0,116.0
2020-06-19,64.0,138.0,1996.0,1684.0,476.0,117.0
2020-06-20,66.0,142.0,2057.0,1735.0,501.0,125.0
2020-06-21,69.0,144.0,2147.0,1803.0,515.0,130.0
2020-06-22,69.0,148.0,2236.0,1869.0,519.0,132.0
2020-06-23,71.0,156.0,2324.0,1929.0,537.0,133.0
2020-06-24,71.0,159.0,2406.0,2008.0,553.0,139.0
2020-06-25,73.0,161.0,2477.0,2086.0,575.0,145.0
2020-06-26,79.0,173.0,2567.0,2163.0,600.0,145.0
2020-06-27,84.0,176.0,2630.0,2257.0,633.0,154.0
2020-06-28,86.0,179.0,2729.0,2354.0,667.0,158.0
2020-06-29,93.0,185.0,2829.0,2454.0,715.0,162.0
2020-06-30,97.0,190.0,2941.0,2584.0,746.0,178.0
2020-07-01,100.0,193.0,3053.0,2692.0,775.0,187.0
2020-07-02,102.0,199.0,3172.0,2811.0,793.0,190.0
2020-07-03,108.0,209.0,3287.0,2898.0,810.0,195.0
2020-07-04,112.0,221.0,3392.0,3003.0,842.0,207.0
2020-07-05,116.0,224.0,3492.0,3121.0,861.0,213.0
2020-07-06,122.0,227.0,3599.0,3242.0,893.0,224.0
2020-07-07,125.0,232.0,3696.0,3363.0,922.0,228.0
2020-07-08,133.0,233.0,3807.0,3482.0,953.0,236.0
2020-07-09,133.0,234.0,3927.0,3621.0,988.0,239.0
2020-07-10,133.0,234.0,3927.0,3621.0,988.0,239.0
2020-07-11,138.0,245.0,4146.0,3851.0,1047.0,247.0
2020-07-12,140.0,248.0,4305.0,3956.0,1078.0,251.0
2020-07-13,144.0,253.0,4434.0,4100.0,1111.0,261.0
2020-07-14,145.0,258.0,4585.0,4229.0,1136.0,292.0
2020-07-15,153.0,263.0,4747.0,4338.0,1157.0,299.0
2020-07-16,153.0,267.0,4822.0,4467.0,1197.0,301.0
2020-07-17,153.0,275.0,4961.0,4587.0,1226.0,306.0
2020-07-18,157.0,284.0,5096.0,4741.0,1258.0,310.0
2020-07-19,159.0,294.0,5235.0,4890.0,1312.0,317.0
2020-07-20,160.0,299.0,5359.0,5079.0,1363.0,322.0
2020-07-21,163.0,304.0,5518.0,5236.0,1421.0,333.0
2020-07-22,166.0,310.0,5669.0,5397.0,1494.0,341.0
2020-07-23,168.0,321.0,5847.0,5560.0,1545.0,351.0
2020-07-25,180.0,334.0,6141.0,5898.0,1698.0,379.0
2020-07-26,184.0,341.0,6292.0,6066.0,1769.0,383.0
2020-07-27,190.0,347.0,6448.0,6246.0,1821.0,394.0
2020-07-28,196.0,355.0,6610.0,6409.0,1869.0,402.0
2020-07-29,199.0,359.0,6782.0,6566.0,1915.0,409.0
2020-07-30,202.0,366.0,6954.0,6715.0,1976.0,419.0
2020-07-31,206.0,372.0,7118.0,6891.0,2031.0,432.0
2020-08-02,215.0,385.0,7438.0,7235.0,2127.0,443.0
2020-08-03,218.0,394.0,7609.0,7395.0,2192.0,454.0
2020-08-04,220.0,410.0,7787.0,7587.0,2242.0,455.0
2020-08-05,234.0,413.0,7961.0,7750.0,2299.0,469.0
2020-08-07,236.0,432.0,8318.0,8095.0,2401.0,496.0
2020-08-08,239.0,446.0,8498.0,8274.0,2465.0,501.0
2020-08-09,241.0,455.0,8678.0,8438.0,2544.0,516.0
